country,region,year,earthquakeDeaths
North Korea,Asia,1973,0
Pakistan,Asia,1973,0
Panama,Americas,1973,0
Papua New Guinea,Asia,1973,0
Peru,Americas,1973,0
Philippines,Asia,1973,14
Poland,Europe,1973,0
Romania,Europe,1973,0
Russia,Europe,1973,0
Rwanda,Africa,1973,0
Slovenia,Europe,1973,0
Solomon Islands,Asia,1973,0
South Africa,Africa,1973,0
Spain,Europe,1973,0
St. Lucia,Americas,1973,0
Sudan,Africa,1973,0
Tajikistan,Asia,1973,0
Tanzania,Africa,1973,0
Thailand,Asia,1973,0
Tonga,Asia,1973,0
Trinidad and Tobago,Americas,1973,0
Turkey,Europe,1973,0
Turkmenistan,Asia,1973,0
Uganda,Africa,1973,0
United Kingdom,Europe,1973,0
United States,Americas,1973,0
Uzbekistan,Asia,1973,0
Vanuatu,Asia,1973,0
Venezuela,Americas,1973,0
Yemen,Asia,1973,0
Afghanistan,Asia,1974,0
Albania,Europe,1974,0
Algeria,Africa,1974,0
Argentina,Americas,1974,0
Armenia,Europe,1974,0
Australia,Asia,1974,0
Austria,Europe,1974,0
Azerbaijan,Europe,1974,0
Bangladesh,Asia,1974,0
Barbados,Americas,1974,0
Belgium,Europe,1974,0
Bolivia,Americas,1974,0
Brazil,Americas,1974,0
Bulgaria,Europe,1974,0
Burundi,Africa,1974,0
Chile,Americas,1974,0
China,Asia,1974,20000
Colombia,Americas,1974,0
"Congo, Dem. Rep.",Africa,1974,0
"Congo, Rep.",Africa,1974,0
Costa Rica,Americas,1974,0
Croatia,Europe,1974,0
Cuba,Americas,1974,0
Cyprus,Europe,1974,0
Dominica,Americas,1974,0
Dominican Republic,Americas,1974,0
Ecuador,Americas,1974,0
Egypt,Africa,1974,0
El Salvador,Americas,1974,0
Fiji,Asia,1974,0
Georgia,Europe,1974,0
Germany,Europe,1974,0
Greece,Europe,1974,0
Guatemala,Americas,1974,0
Guinea,Africa,1974,0
Honduras,Americas,1974,0
Iceland,Europe,1974,0
India,Asia,1974,0
Indonesia,Asia,1974,0
Iran,Asia,1974,0
Iraq,Asia,1974,0
Italy,Europe,1974,0
Japan,Asia,1974,30
Kazakhstan,Asia,1974,0
Kenya,Africa,1974,0
Kyrgyz Republic,Asia,1974,0
Malawi,Africa,1974,0
Mexico,Americas,1974,0
Morocco,Africa,1974,0
Mozambique,Africa,1974,0
Myanmar,Asia,1974,0
Nepal,Asia,1974,0
Netherlands,Europe,1974,0
New Zealand,Asia,1974,0
Nicaragua,Americas,1974,0
North Korea,Asia,1974,0
Pakistan,Asia,1974,4700
Panama,Americas,1974,0
Papua New Guinea,Asia,1974,0
Peru,Americas,1974,78
Philippines,Asia,1974,0
Poland,Europe,1974,0
Romania,Europe,1974,0
Russia,Europe,1974,0
Rwanda,Africa,1974,0
Slovenia,Europe,1974,0
Solomon Islands,Asia,1974,0
South Africa,Africa,1974,0
Spain,Europe,1974,0
St. Lucia,Americas,1974,0
Sudan,Africa,1974,0
Tajikistan,Asia,1974,0
Tanzania,Africa,1974,0
Thailand,Asia,1974,0
Tonga,Asia,1974,0
Trinidad and Tobago,Americas,1974,0
Turkey,Europe,1974,0
Turkmenistan,Asia,1974,0
Uganda,Africa,1974,0
United Kingdom,Europe,1974,0
United States,Americas,1974,0
